text,label
NASA scientists announced the discovery of a terrestrial exoplanet in the habitable zone of a nearby star system after analyzing spectrographic data from the James Webb Space Telescope.,1
The Environmental Protection Agency released its annual emissions report indicating a 3.2 percent decline in nationwide greenhouse gas emissions.,1
"According to the Bureau of Labor Statistics, non-farm payroll employment increased by 216,000 jobs in December, while the national unemployment rate held steady at 3.7 percent.",1
European Space Agency officials confirmed that the automated cargo resupply spacecraft successfully docked with the International Space Station.,1
SHOCKING: You will never believe what doctors just admitted! This simple kitchen spice cures diabetes and cancer in 48 hours and Big Pharma is desperately trying to hide the secret from you!,0
MUST READ: Famous celebrity caught red-handed in horrifying scandal that the mainstream media is desperately trying to bury from the public!,0
VIRAL: Woman lost 45 pounds in just 4 days without exercise using this one weird ancient trick that nutritionists want banned immediately!,0
EXCLUSIVE: Secret leaked video exposes what really happened behind closed doors at the summit! You will be horrified by the truth!,0
BREAKING: Scientists reveal that eating this common everyday fruit is secretly destroying your liver and aging your skin by 20 years overnight!,0
UNBELIEVABLE: Miracle water drops restore 20/20 vision in 3 days! Eye surgeons hate this man for sharing the forbidden recipe!,0
WARNING: Throw away your microwave immediately! New whistleblower evidence shows it emits deadly cosmic radiation that alters human DNA!,0
TOP SECRET: Billionaires are building underground bunkers because a hidden asteroid is scheduled to collide with Earth next Tuesday!,0
"EXCLUSIVE: Declassified military files prove that the moon landings were completely filmed on a Hollywood sound stage to trick rival nations, and secret elites are covering up the truth!",0
Chemtrails revealed: Government planes are secretly spraying mind-control chemicals and synthetic pathogens over residential neighborhoods to reduce population!,0
SHOCKING PROOF: 5G cell towers are transmitting subliminal biometric frequencies designed to manipulate citizen behavior and disable immune systems!,0
The World Economic Forum is executing a covert master plan to ban all cash currency and replace it with microchips implanted under citizens' skin!,0
"Ancient pyramid texts deciphered by independent researchers prove that human civilization was engineered by reptilian extraterrestrials 5,000 years ago!",0
BOMBSHELL REPORT: All weather satellites are completely fake! Earth is actually surrounded by a giant glass dome controlled by secret elites!,0
Whistleblower inside the government exposes secret military weather machines causing all earthquakes and hurricanes across the globe!,0
EXPOSED: Leading world leaders have already been replaced by biological clones operating from underground cloned facilities!,0
"Drinking pure chlorine dioxide solution 3 times a day is proven to cure autism, arthritis, and all viral infections according to suppressed holistic healers!",0
Wearing face masks causes carbon dioxide poisoning and permanent brain damage within 10 minutes according to holistic freedom advocates!,0
"Congratulations! You have won ₹10,00,000 in our lucky draw. Click here to claim your prize now!",0
"CONGRATULATIONS! You have been selected as the official lucky winner of $1,000,000 in our international lottery! Transfer $250 processing fee immediately to claim your prize now.",0
Congratulations you won a free iPhone 15 Pro Max! Click this link to confirm your delivery address and pay only $10 shipping fee right now.,0
You are chosen for a free gift card worth $500. Click here to claim your reward.,0
"URGENT: Win ₹25,000 cash bonus now. Click link to claim.",0
"Congratulations user! You were randomly selected for a $1,000 Walmart gift card. Complete the survey and provide your credit card to verify eligibility.",0
"You won! Send ₹10,000 payment to unlock your free phone delivery to your address.",0
Limited-time investment opportunity! Double your money in 7 days. Join now!,0
"Exclusive opportunity: Make $15,000 per week working only 20 minutes a day from your phone! Send ₹5,000 registration fee to activate your automated crypto bot.",0
"Earn ₹5,000 daily working 1 hour from home. No experience needed. Join Telegram.",0
Part time job: Earn 3000 to 5000 per day from mobile. Contact WhatsApp.,0
Send 1000 rupees to receive 10000 rupees tomorrow guaranteed.,0
Double your cryptocurrency in 24 hours! Send 0.1 BTC to the designated smart contract address and receive 0.2 BTC back instantly guaranteed!,0
"Guaranteed binary options trading profit: Deposit $200 today and withdraw $3,000 daily with our automated algorithm.",0
URGENT NOTICE: Your bank account has been flagged for suspicious activity. Click here right now and verify your online banking password and OTP to prevent immediate account termination.,0
"Dear customer, your electricity power will be disconnected tonight. Call officer at 9876543210.",0
Your SBI Bank account is blocked due to KYC. Click link to update PAN card immediately.,0
"Dear user, your SIM card will be deactivated today. Call customer care immediately.",0
FINAL WARNING: Your electric utility service will be permanently disconnected within 1 hour unless you immediately send payment via Bitcoin voucher.,0
"Pre-approved loan of ₹5,00,000 approved at 0% interest. Click here to disburse immediately.",0
"You received a $5,000 federal grant approved by the treasury. Send your full social security number and $100 processing charge to receive wire transfer.",0
"Lucky prize alert: You won ₹500,000 cash reward. Send your PAN card and bank details with ₹2,500 security deposit to release payment.",0
Urgent package delivery pending: We could not deliver your parcel due to invalid address. Click here to confirm personal details and pay redelivery fee.,0
Inheritance fund notification: You are named as sole beneficiary for 2.5 million dollars. Send your passport copy and release fee.,0
